id,score,poi,address,position,viewport
826009030773633,2.5744285583,"{'name': 'Fit2Function Clinics', 'phone': '+44 20 7117 2076', 'categorySet': [{'id': 7321}], 'categories': ['hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetName': 'Jubilee Market The Piazza', 'municipalitySubdivision': 'Strand', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2E', 'extendedPostalCode': 'WC2E 7', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Jubilee Market The Piazza, Strand, London, WC2E 7', 'localName': 'London'}","{'lat': 51.51162, 'lon': -0.12182000000000001}","{'topLeftPoint': {'lat': 51.51252, 'lon': -0.12327}, 'btmRightPoint': {'lat': 51.51072, 'lon': -0.12037}}"
826009028832094,2.5743136406,"{'name': 'General Healthcare B M I', 'phone': '+44 20 3283 6600', 'categorySet': [{'id': 7321002}], 'url': 'www.bmihealthcare.co.uk', 'categories': ['general', 'hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'general'}, {'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetNumber': '3', 'streetName': 'Paris Garden', 'municipalitySubdivision': 'Waterloo', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'SE1', 'extendedPostalCode': 'SE1 8ND', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '3 Paris Garden, Waterloo, London, SE1 8ND', 'localName': 'London'}","{'lat': 51.50664, 'lon': -0.10636000000000001}","{'topLeftPoint': {'lat': 51.50754, 'lon': -0.1078}, 'btmRightPoint': {'lat': 51.50574, 'lon': -0.10492000000000001}}"
826009029391797,2.5742964745,"{'name': 'Nuffield Health Covent Garden', 'phone': '+44 20 3773 8785', 'categorySet': [{'id': 7321003}], 'url': 'www.nuffieldhealth.com/health-assessments', 'categories': ['hospital/polyclinic', 'special'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}, {'nameLocale': 'en-US', 'name': 'special'}]}]}","{'streetName': 'Odhams Walk', 'municipalitySubdivision': 'Covent Garden', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2H', 'extendedPostalCode': 'WC2H 9SA', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Odhams Walk, Covent Garden, London, WC2H 9SA', 'localName': 'London'}","{'lat': 51.51389, 'lon': -0.12393000000000001}","{'topLeftPoint': {'lat': 51.51479, 'lon': -0.12538000000000002}, 'btmRightPoint': {'lat': 51.51299, 'lon': -0.12248}}"
826009030528266,2.5742835999,"{'name': ""Saint Thomas' Hospital"", 'phone': '+44 20 7188 7188', 'categorySet': [{'id': 7321002}], 'url': 'www.guysandstthomas.nhs.uk', 'categories': ['general', 'hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'general'}, {'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetName': 'Westminster Bridge Road', 'municipalitySubdivision': 'Waterloo', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'SE1', 'extendedPostalCode': 'SE1 7FR', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Westminster Bridge Road, Waterloo, London, SE1 7FR', 'localName': 'London'}","{'lat': 51.49938, 'lon': -0.11793000000000001}","{'topLeftPoint': {'lat': 51.49989, 'lon': -0.12046000000000001}, 'btmRightPoint': {'lat': 51.49756, 'lon': -0.11739000000000001}}"
826009029204392,2.5736577511,"{'name': 'Medico Legal UK', 'phone': '+44 800 061 4876', 'categorySet': [{'id': 7321002}], 'url': 'www.medicolegal-report.co.uk', 'categories': ['general', 'hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'general'}, {'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetName': 'Hatton Garden', 'municipalitySubdivision': 'Clerkenwell', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'EC1N', 'extendedPostalCode': 'EC1N 8JY', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Hatton Garden, Clerkenwell, London, EC1N 8JY', 'localName': 'London'}","{'lat': 51.52086, 'lon': -0.10907000000000001}","{'topLeftPoint': {'lat': 51.52176, 'lon': -0.11052000000000001}, 'btmRightPoint': {'lat': 51.51996, 'lon': -0.10762000000000001}}"
826009006278475,2.5735976696,"{'name': ""Saint Bartholomew's Hospital"", 'phone': '+44 20 7377 7000', 'categorySet': [{'id': 7321002}], 'url': 'www.bartsandthelondon.nhs.uk', 'categories': ['general', 'hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'general'}, {'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetName': 'West Smithfield', 'municipalitySubdivision': 'Barbican', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'EC1A', 'extendedPostalCode': 'EC1A 7BE', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'West Smithfield, Barbican, London, EC1A 7BE', 'localName': 'London'}","{'lat': 51.51759, 'lon': -0.10011}","{'topLeftPoint': {'lat': 51.51935, 'lon': -0.10165}, 'btmRightPoint': {'lat': 51.51661, 'lon': -0.09784000000000001}}"
826001000009213,2.5735867023,"{'name': 'Great Ormond Street Hospital', 'phone': '+44 20 7405 9200', 'categorySet': [{'id': 7321002}], 'url': 'www.gosh.nhs.uk', 'categories': ['general', 'hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'general'}, {'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetName': 'Great Ormond Street', 'municipalitySubdivision': 'Bloomsbury', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC1N', 'extendedPostalCode': 'WC1N 3JH', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Great Ormond Street, Bloomsbury, London, WC1N 3JH', 'localName': 'London'}","{'lat': 51.5225, 'lon': -0.1203}","{'topLeftPoint': {'lat': 51.52353, 'lon': -0.12203000000000001}, 'btmRightPoint': {'lat': 51.52167, 'lon': -0.11877000000000001}}"
826009005651853,2.5735611916,"{'name': 'National Hospital for Neurology & Neurosurgery', 'phone': '+44 845 155 5000', 'categorySet': [{'id': 7321002}], 'url': 'www.uclh.nhs.uk/OurServices/OurHospitals/NHNN', 'categories': ['general', 'hospital/polyclinic'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'general'}, {'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}]}]}","{'streetName': 'Queen Square', 'municipalitySubdivision': 'Bloomsbury', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC1N', 'extendedPostalCode': 'WC1N 3BB', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Queen Square, Bloomsbury, London, WC1N 3BB', 'localName': 'London'}","{'lat': 51.52248, 'lon': -0.12288000000000002}","{'topLeftPoint': {'lat': 51.52295, 'lon': -0.12332000000000001}, 'btmRightPoint': {'lat': 51.52137, 'lon': -0.12086000000000001}}"
826009003143363,2.5731837749,"{'name': 'University College Hospital Macmillan Cancer Centre', 'phone': '+44 20 3456 7016', 'categorySet': [{'id': 7321003}], 'url': 'www.uclh.nhs.uk', 'categories': ['hospital/polyclinic', 'special'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}, {'nameLocale': 'en-US', 'name': 'special'}]}]}","{'streetName': 'Huntley Street', 'municipalitySubdivision': 'Bloomsbury', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC1E', 'extendedPostalCode': 'WC1E 6DD', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Huntley Street, Bloomsbury, London, WC1E 6DD', 'localName': 'London'}","{'lat': 51.52252, 'lon': -0.13436}","{'topLeftPoint': {'lat': 51.52342, 'lon': -0.13581000000000001}, 'btmRightPoint': {'lat': 51.52162, 'lon': -0.13291}}"
826009003121081,2.5731425285,"{'name': 'The Eastman Dental Hospital', 'phone': '+44 20 3456 7899', 'categorySet': [{'id': 7321003}], 'url': 'www.uclh.nhs.uk', 'categories': ['hospital/polyclinic', 'special'], 'classifications': [{'code': 'HOSPITAL_POLYCLINIC', 'names': [{'nameLocale': 'en-US', 'name': 'hospital/polyclinic'}, {'nameLocale': 'en-US', 'name': 'special'}]}]}","{'streetNumber': '256', 'streetName': ""Gray's Inn Road"", 'municipalitySubdivision': 'Grays Inn', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC1X', 'extendedPostalCode': 'WC1X 8JX', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': ""256 Gray's Inn Road, Grays Inn, London, WC1X 8JX"", 'localName': 'London'}","{'lat': 51.52583, 'lon': -0.11702000000000001}","{'topLeftPoint': {'lat': 51.52675, 'lon': -0.11798000000000002}, 'btmRightPoint': {'lat': 51.5248, 'lon': -0.11532}}"
