id,score,poi,address,position,viewport
826009036155679,2.5744953156,"{'name': 'Rambert', 'phone': '+44 20 8360 0600', 'categorySet': [{'id': 9378003}], 'categories': ['dance studio school', 'leisure center'], 'classifications': [{'code': 'LEISURE_CENTER', 'names': [{'nameLocale': 'en-US', 'name': 'leisure center'}, {'nameLocale': 'en-US', 'name': 'dance studio school'}]}]}","{'streetNumber': '99', 'streetName': 'Upper Ground', 'municipalitySubdivision': 'South Bank', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'SE1', 'extendedPostalCode': 'SE1 9PX', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '99 Upper Ground, South Bank, London, SE1 9PX', 'localName': 'London'}","{'lat': 51.50608, 'lon': -0.11386}","{'topLeftPoint': {'lat': 51.50698, 'lon': -0.1153}, 'btmRightPoint': {'lat': 51.50518, 'lon': -0.11242}}"
826009035873662,2.5744280815,"{'name': 'School of Wok', 'categorySet': [{'id': 7372015}], 'categories': ['culinary school', 'school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'culinary school'}, {'nameLocale': 'en-US', 'name': 'school'}]}]}","{'streetNumber': '61', 'streetName': 'Chandos Place', 'municipalitySubdivision': 'Covent Garden', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2N', 'extendedPostalCode': 'WC2N 4HU', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '61 Chandos Place, Covent Garden, London, WC2N 4HU', 'localName': 'London'}","{'lat': 51.50995, 'lon': -0.12479000000000001}","{'topLeftPoint': {'lat': 51.51085, 'lon': -0.12623}, 'btmRightPoint': {'lat': 51.50905, 'lon': -0.12335000000000002}}"
826007000371812,2.5744276047,"{'name': 'The College of Optometrists', 'categorySet': [{'id': 7372}], 'categories': ['school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'school'}]}]}","{'streetNumber': '42', 'streetName': 'Craven Street', 'municipalitySubdivision': 'Strand', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2N', 'extendedPostalCode': 'WC2N 5PE', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '42 Craven Street, Strand, London, WC2N 5PE', 'localName': 'London'}","{'lat': 51.50795, 'lon': -0.12605000000000002}","{'topLeftPoint': {'lat': 51.50885, 'lon': -0.12749000000000002}, 'btmRightPoint': {'lat': 51.50705, 'lon': -0.12461000000000001}}"
826009040025982,2.5744233131,"{'name': 'GSTT Education Centre', 'categorySet': [{'id': 7372}], 'categories': ['school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'school'}]}]}","{'streetNumber': '75', 'streetName': 'York Road', 'municipalitySubdivision': 'Waterloo', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'SE1', 'extendedPostalCode': 'SE1 7NZ', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '75 York Road, Waterloo, London, SE1 7NZ', 'localName': 'London'}","{'lat': 51.5022, 'lon': -0.11634000000000001}","{'topLeftPoint': {'lat': 51.5031, 'lon': -0.11778000000000001}, 'btmRightPoint': {'lat': 51.5013, 'lon': -0.1149}}"
826001001553024,2.5744185448,"{'name': 'Kings College Modern Language Centre', 'phone': '+44 20 7848 2890', 'categorySet': [{'id': 7372010}], 'url': 'www.kcl.ac.uk/mlc', 'categories': ['language school', 'school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'school'}, {'nameLocale': 'en-US', 'name': 'language school'}]}]}","{'streetNumber': '170', 'streetName': 'Strand', 'municipalitySubdivision': 'Strand', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2R', 'extendedPostalCode': 'WC2R 1EH', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '170 Strand, Strand, London, WC2R 1EH', 'localName': 'London'}","{'lat': 51.51225, 'lon': -0.11586}","{'topLeftPoint': {'lat': 51.51315, 'lon': -0.11731000000000001}, 'btmRightPoint': {'lat': 51.51135, 'lon': -0.11441000000000001}}"
826008000011622,2.5743956566,"{'name': 'Konditor & Cook Cake School', 'categorySet': [{'id': 7372015}], 'categories': ['culinary school', 'school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'culinary school'}, {'nameLocale': 'en-US', 'name': 'school'}]}]}","{'streetName': 'Stamford Street', 'municipalitySubdivision': 'South Bank', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'SE1', 'extendedPostalCode': 'SE1 9NH', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Stamford Street, South Bank, London, SE1 9NH', 'localName': 'London'}","{'lat': 51.50654, 'lon': -0.10891}","{'topLeftPoint': {'lat': 51.50744, 'lon': -0.11035}, 'btmRightPoint': {'lat': 51.50564, 'lon': -0.10747000000000001}}"
826009040705953,2.5743796825,"{'name': 'Hyde Park Nursery', 'categorySet': [{'id': 7372009}], 'categories': ['school', 'technical school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'school'}, {'nameLocale': 'en-US', 'name': 'technical school'}]}]}","{'streetName': 'Covent Garden', 'municipalitySubdivision': 'Covent Garden', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2E', 'extendedPostalCode': 'WC2E 8RF', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Covent Garden, Covent Garden, London, WC2E 8RF', 'localName': 'London'}","{'lat': 51.51262, 'lon': -0.12256000000000002}","{'topLeftPoint': {'lat': 51.51352, 'lon': -0.12401000000000001}, 'btmRightPoint': {'lat': 51.51172, 'lon': -0.12111000000000001}}"
826009004877318,2.5743644238,"{'name': 'St Clement Danes Cofe Primary School', 'phone': '+44 20 7641 6586', 'categorySet': [{'id': 7372005}], 'categories': ['primary school', 'school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'primary school'}, {'nameLocale': 'en-US', 'name': 'school'}]}]}","{'streetName': 'Drury Lane', 'municipalitySubdivision': 'Covent Garden', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2B', 'extendedPostalCode': 'WC2B 5ST', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': 'Drury Lane, Covent Garden, London, WC2B 5ST', 'localName': 'London'}","{'lat': 51.51356, 'lon': -0.11916000000000002}","{'topLeftPoint': {'lat': 51.51446, 'lon': -0.12061000000000001}, 'btmRightPoint': {'lat': 51.51266, 'lon': -0.11771000000000001}}"
826009030585894,2.5743539333000003,"{'name': 'Off To Care', 'phone': '+44 7449 501055', 'categorySet': [{'id': 7372003}], 'url': 'offtocare.co.uk', 'categories': ['child care facility', 'school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'child care facility'}, {'nameLocale': 'en-US', 'name': 'school'}]}]}","{'streetNumber': '30', 'streetName': 'Stamford Street', 'municipalitySubdivision': 'South Bank', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'SE1', 'extendedPostalCode': 'SE1 9DJ', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '30 Stamford Street, South Bank, London, SE1 9DJ', 'localName': 'London'}","{'lat': 51.5068, 'lon': -0.10751000000000001}","{'topLeftPoint': {'lat': 51.5077, 'lon': -0.10895}, 'btmRightPoint': {'lat': 51.5059, 'lon': -0.10607000000000001}}"
826009009561402,2.5743479729,"{'name': 'Institute Cevantes', 'phone': '+44 20 7201 0750', 'categorySet': [{'id': 7372010}], 'url': 'londres.cervantes.es', 'categories': ['language school', 'school'], 'classifications': [{'code': 'SCHOOL', 'names': [{'nameLocale': 'en-US', 'name': 'school'}, {'nameLocale': 'en-US', 'name': 'language school'}]}]}","{'streetNumber': '15-19', 'streetName': 'Devereux Court', 'municipalitySubdivision': 'Strand', 'municipality': 'London', 'countrySecondarySubdivision': 'London', 'countrySubdivision': 'ENG', 'countrySubdivisionName': 'England', 'postalCode': 'WC2R', 'extendedPostalCode': 'WC2R 3JJ', 'countryCode': 'GB', 'country': 'United Kingdom', 'countryCodeISO3': 'GBR', 'freeformAddress': '15-19 Devereux Court, Strand, London, WC2R 3JJ', 'localName': 'London'}","{'lat': 51.51304, 'lon': -0.11276000000000001}","{'topLeftPoint': {'lat': 51.51394, 'lon': -0.11421}, 'btmRightPoint': {'lat': 51.51214, 'lon': -0.11131}}"
